"fname","cop_name","plate","frame","sec","drop","blobs","blob_size","x","y","distance","dot_product"
"69_2D_07","69_2D","69",0,-0.5,0,1,4.69213390350342,211.66,453.89,NA,NA
"69_2D_07","69_2D","69",1,-0.375,0,1,4.69213390350342,211.66,453.89,0,0
"69_2D_07","69_2D","69",2,-0.25,0,1,4.60307216644287,211.86,454,0.228254244210288,-0.0521000000000098
"69_2D_07","69_2D","69",3,-0.125,0,1,4.69213390350342,211.66,453.89,0.228254244210288,-0.960200000000087
"69_2D_07","69_2D","69",4,0,0,1,4.69213390350342,216.34,454.11,4.68516808663255,-0.0650000000000455
"69_2D_07","69_2D","69",5,0.125,0,1,4.86371183395386,216.32,454.24,0.131529464379656,-0.0416000000000056
"69_2D_07","69_2D","69",6,0.25,0,1,4.34192895889282,216.84,454,0.572712842531067,0
"69_2D_07","69_2D","69",7,0.375,0,0,NA,216.84,454,0,0
"69_2D_07","69_2D","69",8,0.5,0,1,4.75711345672607,218.56,455.11,2.0470710783947,0.812300000000009
"69_2D_07","69_2D","69",9,0.625,0,1,4.34192895889282,219,455.16,0.44283179650969,0.185699999999999
"69_2D_07","69_2D","69",10,0.75,0,1,4.85450744628906,219.38,455.53,0.530377224247005,1.45539999999999
"69_2D_07","69_2D","69",11,0.875,0,1,5.30143642425537,222.84,455.91,3.48080450470866,1.10719999999998
"69_2D_07","69_2D","69",12,1,0,1,5.30143642425537,223.16,455.91,0.319999999999993,0.108799999999999
"69_2D_07","69_2D","69",13,1.125,0,1,5,223.5,456,0.351710107901376,0.526099999999991
"69_2D_07","69_2D","69",14,1.25,0,1,5.09699630737305,224.87,456.67,1.52505737596985,0
"69_2D_07","69_2D","69",15,1.375,0,0,NA,224.87,456.67,0,0
"69_2D_07","69_2D","69",16,1.5,0,1,5.41500473022461,225.68,456.62,0.811541742610942,0.152499999999989
"69_2D_07","69_2D","69",17,1.625,0,1,6.04353952407837,225.88,456.81,0.275862284482665,-0.0398999999999956
"69_2D_07","69_2D","69",18,1.75,0,1,5.73396348953247,225.5,457,0.424852915724955,-0.0474999999999994
"69_2D_07","69_2D","69",19,1.875,0,1,5.63179540634155,225.51,456.77,0.230217288664445,-0.203300000000042
"69_2D_07","69_2D","69",20,2,0,1,5.4181113243103,227.49,457.74,2.20483559477802,1.33949999999998
"69_2D_07","69_2D","69",21,2.125,0,1,5.62031078338623,228.24,457.59,0.764852927038924,0.242999999999961
"69_2D_07","69_2D","69",22,2.25,0,1,5.10167217254639,228.67,458.12,0.682495421230072,0.544699999999989
"69_2D_07","69_2D","69",23,2.375,0,1,5.46206665039062,229.53,458.45,0.921140597303155,0
"69_2D_07","69_2D","69",24,2.5,0,0,NA,229.53,458.45,0,0
"69_2D_07","69_2D","69",25,2.625,0,0,NA,229.53,458.45,0,0
"69_2D_07","69_2D","69",26,2.75,0,1,5.32956457138062,232.35,459.72,3.09278191924359,0
"69_2D_07","69_2D","69",27,2.875,0,0,NA,232.35,459.72,0,0
"69_2D_07","69_2D","69",28,3,0,1,5.50627136230469,234.33,461.33,2.55196003103496,-0.570899999999981
"69_2D_07","69_2D","69",29,3.125,0,1,6.03126668930054,234.31,461,0.330605505096316,-0.0670999999999985
