"fname","cop_name","plate","frame","sec","drop","blobs","blob_size","x","y","distance","dot_product"
"36_2B_15","36_2B","36",0,-2.125,0,1,3.61316752433777,214.78,221.37,NA,NA
"36_2B_15","36_2B","36",1,-2,0,1,3.63458633422852,214.81,221.19,0.182482875908954,0
"36_2B_15","36_2B","36",2,-1.875,0,0,NA,214.81,221.19,0,0
"36_2B_15","36_2B","36",3,-1.75,0,0,NA,214.81,221.19,0,0
"36_2B_15","36_2B","36",4,-1.625,0,0,NA,214.81,221.19,0,0
"36_2B_15","36_2B","36",5,-1.5,0,0,NA,214.81,221.19,0,0
"36_2B_15","36_2B","36",6,-1.375,0,1,3.16227769851685,213.5,223.5,2.6555978611228,0.0802999999999909
"36_2B_15","36_2B","36",7,-1.25,0,1,3.79621624946594,213.28,223.41,0.237697286480094,0
"36_2B_15","36_2B","36",8,-1.125,0,0,NA,213.28,223.41,0,0
"36_2B_15","36_2B","36",9,-1,0,0,NA,213.28,223.41,0,0
"36_2B_15","36_2B","36",10,-0.875,0,0,NA,213.28,223.41,0,0
"36_2B_15","36_2B","36",11,-0.75,0,1,5.10438442230225,212.61,224.53,1.30510535973154,-0.167499999999997
"36_2B_15","36_2B","36",12,-0.625,0,1,5.12883567810059,212.86,224.53,0.25,-0.145000000000003
"36_2B_15","36_2B","36",13,-0.5,0,1,5.32956457138062,212.28,224.65,0.592283715798447,0.020400000000001
"36_2B_15","36_2B","36",14,-0.375,0,1,4.69213390350342,212.34,225.11,0.463896540189736,0.135599999999994
"36_2B_15","36_2B","36",15,-0.25,0,1,4.85450744628906,212.53,225.38,0.330151480384367,-0.037699999999992
"36_2B_15","36_2B","36",16,-0.125,0,1,4.89098739624023,212.36,225.36,0.171172427686222,0.0863999999999972
"36_2B_15","36_2B","36",17,0,0,1,5.59543371200562,211.84,225.46,0.529528091794958,0.130400000000006
"36_2B_15","36_2B","36",18,0.125,0,1,5.10167217254639,211.67,225.88,0.453100430368362,0
"36_2B_15","36_2B","36",19,0.25,0,0,NA,211.67,225.88,0,0
"36_2B_15","36_2B","36",20,0.375,0,1,5.5812668800354,217.27,227.5,5.82961405240521,17.4356
"36_2B_15","36_2B","36",21,0.5,0,1,5.46598768234253,220.1,228.48,2.99487896249579,23.8871999999999
"36_2B_15","36_2B","36",22,0.625,0,1,5.5992693901062,226.74,233.68,8.43383661212383,25.1952
"36_2B_15","36_2B","36",23,0.75,0,1,5.86103057861328,229.72,234.72,3.15626361383201,14.3702
"36_2B_15","36_2B","36",24,0.875,0,1,5.5812668800354,234.27,235.5,4.61637303518683,0
"36_2B_15","36_2B","36",25,1,0,0,NA,234.27,235.5,0,0
"36_2B_15","36_2B","36",26,1.125,0,1,6.10117816925049,238.04,236.09,3.81588783902251,13.1398999999999
"36_2B_15","36_2B","36",27,1.25,0,1,5.62990951538086,241.48,236.38,3.45220219570059,5.09540000000003
"36_2B_15","36_2B","36",28,1.375,0,1,6.00197219848633,243,235.92,1.58808060248844,3.02820000000001
"36_2B_15","36_2B","36",29,1.5,0,1,3.86455106735229,244.85,235.45,1.9087692369692,0
"36_2B_15","36_2B","36",30,1.625,0,0,NA,244.85,235.45,0,0
"36_2B_15","36_2B","36",31,1.75,0,0,NA,244.85,235.45,0,0
"36_2B_15","36_2B","36",32,1.875,0,1,3.61316752433777,247.37,238.78,4.17603879292328,0
"36_2B_15","36_2B","36",33,2,0,0,NA,247.37,238.78,0,0
"36_2B_15","36_2B","36",34,2.125,0,0,NA,247.37,238.78,0,0
"36_2B_15","36_2B","36",35,2.25,0,0,NA,247.37,238.78,0,0
"36_2B_15","36_2B","36",36,2.375,0,1,3.10949110984802,247.19,230,8.7818449086738,-0.0558000000000025
"36_2B_15","36_2B","36",37,2.5,0,1,3.60555124282837,247.5,230,0.310000000000002,-0.155000000000001
"36_2B_15","36_2B","36",38,2.625,0,1,4.34192895889282,247,229.16,0.977547952787998,0.767399999999992
"36_2B_15","36_2B","36",39,2.75,0,1,5.09232473373413,246.91,228.3,0.864696478540288,1.72239999999996
"36_2B_15","36_2B","36",40,2.875,0,1,3.16227769851685,250.61,225.91,4.40478149287796,-1.45060000000004
"36_2B_15","36_2B","36",41,3,0,1,3.61316752433777,250.05,225.65,0.617413961617324,-0.0801999999999979
"36_2B_15","36_2B","36",42,3.125,0,1,3.10949110984802,250.3,225.42,0.339705755029273,-1.36950000000002
"36_2B_15","36_2B","36",43,3.25,0,1,4.30345630645752,245.65,226.32,4.73629602115409,-9.91049999999993
"36_2B_15","36_2B","36",44,3.375,0,1,3.16227769851685,247.76,226.21,2.1128653530218,5.99049999999997
"36_2B_15","36_2B","36",45,3.5,0,1,4.62920379638672,250.56,225.46,2.89870660812716,-1.92500000000001
"36_2B_15","36_2B","36",46,3.625,0,1,3.61316752433777,249.91,225.6,0.664906008395174,-0.0840000000000095
"36_2B_15","36_2B","36",47,3.75,0,1,3.61316752433777,250.05,225.65,0.148660687473203,0.0279000000000035
"36_2B_15","36_2B","36",48,3.875,0,1,5,250.01,226.32,0.671192967781982,-0.450499999999985
"36_2B_15","36_2B","36",49,4,0,1,3.61316752433777,250.05,225.65,0.671192967781982,0.182200000000013
"36_2B_15","36_2B","36",50,4.125,0,1,4.54521751403809,250.92,225.43,0.89738509013687,-0.805299999999958
"36_2B_15","36_2B","36",51,4.25,0,1,3.61316752433777,250.05,225.65,0.89738509013687,-1.37029999999996
"36_2B_15","36_2B","36",52,4.375,0,1,4.24264049530029,251.62,225.63,1.57012738336734,-3.29979999999998
"36_2B_15","36_2B","36",53,4.5,0,1,3.61316752433777,249.52,225.77,2.1046614929722,-0.842799999999974
"36_2B_15","36_2B","36",54,4.625,0,1,3.61316752433777,249.91,225.6,0.425440947723647,0.0461000000000011
"36_2B_15","36_2B","36",55,4.75,0,1,3.61316752433777,250.05,225.65,0.148660687473203,-0.0141000000000036
"36_2B_15","36_2B","36",56,4.875,0,1,3.61316752433777,249.91,225.76,0.178044938147651,-0.0317000000000009
"36_2B_15","36_2B","36",57,5,0,1,3.61316752433777,250.05,225.65,0.178044938147651,-0.149500000000015
"36_2B_15","36_2B","36",58,5.125,0,1,3.10949110984802,249.1,225.8,0.961769203083585,-3.19350000000007
"36_2B_15","36_2B","36",59,5.25,0,1,3.61316752433777,252.37,225.22,3.32103899404992,-6.9782
"36_2B_15","36_2B","36",60,5.375,0,1,3.61316752433777,250.33,225.75,2.10772389083579,-4.44249999999997
"36_2B_15","36_2B","36",61,5.5,0,1,3.61316752433777,252.37,225.22,2.10772389083579,-11.7652
"36_2B_15","36_2B","36",62,5.625,0,1,3.61316752433777,247.06,226.98,5.59407722506581,-30.3907
"36_2B_15","36_2B","36",63,5.75,0,1,3.63458633422852,252.19,225.19,5.43332310837483,0
"36_2B_15","36_2B","36",64,5.875,0,0,NA,252.19,225.19,0,0
"36_2B_15","36_2B","36",65,6,0,0,NA,252.19,225.19,0,0
"36_2B_15","36_2B","36",66,6.125,0,0,NA,252.19,225.19,0,0
"36_2B_15","36_2B","36",67,6.25,0,1,3.10949110984802,251.19,223,2.40750908617184,1.76509999999998
"36_2B_15","36_2B","36",68,6.375,0,1,4.30334234237671,250.06,222.71,1.16661904664718,-1.17399999999998
"36_2B_15","36_2B","36",69,6.5,0,1,3.83653593063354,251.14,222.55,1.09178752511648,0.396800000000011
"36_2B_15","36_2B","36",70,6.625,0,1,3.16227769851685,251.5,222.5,0.36345563690774,0
"36_2B_15","36_2B","36",71,6.75,0,1,3.16227769851685,251.5,222.5,0,0
"36_2B_15","36_2B","36",72,6.875,0,1,3.60555124282837,251.5,222,0.5,0
"36_2B_15","36_2B","36",73,7,0,0,NA,251.5,222,0,0
"36_2B_15","36_2B","36",74,7.125,0,0,NA,251.5,222,0,0
"36_2B_15","36_2B","36",75,7.25,0,0,NA,251.5,222,0,0
"36_2B_15","36_2B","36",76,7.375,0,1,3.47441434860229,244.63,224.41,7.28045328259169,0
"36_2B_15","36_2B","36",77,7.5,0,0,NA,244.63,224.41,0,0
