"fname","cop_name","plate","frame","sec","drop","blobs","blob_size","x","y","distance","dot_product"
"11_2D_05","11_2D","11",0,-2.5,0,1,4.3159761428833,160.86,455.69,NA,NA
"11_2D_05","11_2D","11",1,-2.375,0,1,4.53070545196533,153.89,462.74,9.91379846476619,0
"11_2D_05","11_2D","11",2,-2.25,0,1,3.16227769851685,153.89,462.74,0,0
"11_2D_05","11_2D","11",3,-2.125,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",4,-2,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",5,-1.875,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",6,-1.75,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",7,-1.625,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",8,-1.5,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",9,-1.375,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",10,-1.25,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",11,-1.125,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",12,-1,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",13,-0.875,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",14,-0.75,0,1,3.60555124282837,153.89,462.74,0,0
"11_2D_05","11_2D","11",15,-0.625,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",16,-0.5,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",17,-0.375,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",18,-0.25,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",19,-0.125,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",20,0,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",21,0.125,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",22,0.25,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",23,0.375,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",24,0.5,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",25,0.625,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",26,0.75,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",27,0.875,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",28,1,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",29,1.125,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",30,1.25,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",31,1.375,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",32,1.5,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",33,1.625,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",34,1.75,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",35,1.875,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",36,2,0,1,3.16227769851685,153.89,462.74,0,0
"11_2D_05","11_2D","11",37,2.125,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",38,2.25,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",39,2.375,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",40,2.5,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",41,2.625,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",42,2.75,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",43,2.875,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",44,3,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",45,3.125,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",46,3.25,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",47,3.375,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",48,3.5,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",49,3.625,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",50,3.75,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",51,3.875,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",52,4,0,0,NA,153.89,462.74,0,0
"11_2D_05","11_2D","11",53,4.125,0,1,3.61316752433777,150.37,495.22,32.6701821237654,0
"11_2D_05","11_2D","11",54,4.25,0,0,NA,150.37,495.22,0,0
"11_2D_05","11_2D","11",55,4.375,0,1,3.60555124282837,150.5,495,0.255538646783634,0
"11_2D_05","11_2D","11",56,4.5,0,1,3.60555124282837,150.5,495,0,0
"11_2D_05","11_2D","11",57,4.625,0,0,NA,150.5,495,0,0
"11_2D_05","11_2D","11",58,4.75,0,1,4.30334234237671,150.85,494.85,0.380788655293181,-0.223499999999986
"11_2D_05","11_2D","11",59,4.875,0,1,3.61316752433777,150.37,495.22,0.606052802980065,-0.292600000000006
"11_2D_05","11_2D","11",60,5,0,1,3.10949110984802,150.81,495,0.491934955049964,-0.0528000000000302
"11_2D_05","11_2D","11",61,5.125,0,1,3.10949110984802,151.19,496,1.0697663296253,0
"11_2D_05","11_2D","11",62,5.25,0,1,3.10949110984802,151.19,496,0,0
"11_2D_05","11_2D","11",63,5.375,0,1,3.61316752433777,151.37,496.22,0.284253408071063,-0.116999999999993
"11_2D_05","11_2D","11",64,5.5,0,1,4.49510526657104,149.29,497.39,2.38648276758915,-4.59809999999999
"11_2D_05","11_2D","11",65,5.625,0,1,3.60555124282837,151,496.5,1.92774479638774,0.505299999999976
"11_2D_05","11_2D","11",66,5.75,0,1,3.79621624946594,151.41,496.72,0.465295604965284,-1.01179999999996
"11_2D_05","11_2D","11",67,5.875,0,1,4.18675136566162,148.25,498.01,3.41316568598711,-2.55189999999996
"11_2D_05","11_2D","11",68,6,0,1,4.41651010513306,148.98,497.82,0.754320886625834,2.04869999999998
"11_2D_05","11_2D","11",69,6.125,0,1,3.61316752433777,151.37,496.22,2.87612586650862,-3.95699999999995
"11_2D_05","11_2D","11",70,6.25,0,1,3.16227769851685,150.27,497.05,1.378005805503,6.10649999999995
"11_2D_05","11_2D","11",71,6.375,0,1,3.10949110984802,146.19,499,4.52204599711238,-12.8625
"11_2D_05","11_2D","11",72,6.5,0,1,3.10949110984802,148.64,497.53,2.8571664284742,-1.75420000000002
"11_2D_05","11_2D","11",73,6.625,0,1,3.9712381362915,148.29,498.14,0.703278038900699,-2.16889999999999
"11_2D_05","11_2D","11",74,6.75,0,1,3.60555124282837,152.5,497,4.36161667274877,0.640300000000009
"11_2D_05","11_2D","11",75,6.875,0,1,4.3159761428833,152.69,497.14,0.236008474424109,0.109299999999997
"11_2D_05","11_2D","11",76,7,0,1,4.3159761428833,153.14,497.31,0.481040538832223,0.0543000000000183
"11_2D_05","11_2D","11",77,7.125,0,1,4.4721360206604,153,498,0.704059656563272,0
"11_2D_05","11_2D","11",78,7.25,0,1,3.63458633422852,153,498,0,0
"11_2D_05","11_2D","11",79,7.375,0,1,4.73271036148071,153.1,498.19,0.214709105535834,0.0489000000000009
"11_2D_05","11_2D","11",80,7.5,0,1,4.56155300140381,153,498.5,0.325729949498047,1.04039999999999
"11_2D_05","11_2D","11",81,7.625,0,1,4.56155300140381,148.92,500.54,4.56157867409959,-21.3792000000002
"11_2D_05","11_2D","11",82,7.75,0,1,4.7646369934082,153.02,498.26,4.69131111737437,-2.05500000000005
"11_2D_05","11_2D","11",83,7.875,0,1,4.4320182800293,152.63,498.46,0.43829214001623,-0.2373
"11_2D_05","11_2D","11",84,8,0,1,4.73271036148071,153.1,498.19,0.542033209314696,-0.243499999999996
"11_2D_05","11_2D","11",85,8.125,0,1,4.60857009887695,152.76,498.5,0.460108682813098,0.831699999999999
"11_2D_05","11_2D","11",86,8.25,0,1,4.12310552597046,151.18,499.45,1.84361058794962,-3.73739999999996
"11_2D_05","11_2D","11",87,8.375,0,1,4.3159761428833,152.86,498.31,2.03027091788263,0
"11_2D_05","11_2D","11",88,8.5,0,1,4.3159761428833,152.86,498.31,0,0
"11_2D_05","11_2D","11",89,8.625,0,1,4.3159761428833,152.86,498.31,0,0
"11_2D_05","11_2D","11",90,8.75,0,1,4.64440011978149,153.8,498.26,0.941328847959095,0.974899999999995
"11_2D_05","11_2D","11",91,8.875,0,1,4.3159761428833,154.86,498.69,1.14389684849641,0.595899999999996
"11_2D_05","11_2D","11",92,9,0,1,3.79621624946594,155.41,498.72,0.550817574156801,1.04500000000002
"11_2D_05","11_2D","11",93,9.125,0,1,3.61316752433777,157.22,500.37,2.44920395230776,1.24720000000004
"11_2D_05","11_2D","11",94,9.25,0,1,3.79621624946594,157.59,500.72,0.509313263129893,0.608600000000043
"11_2D_05","11_2D","11",95,9.375,0,1,4.12310552597046,157.22,502.85,2.16189731486026,-4.08910000000006
"11_2D_05","11_2D","11",96,9.5,0,1,3.16227769851685,160.5,501.5,3.54695644179627,2.89499999999997
"11_2D_05","11_2D","11",97,9.625,0,1,4.4721360206604,162,503,2.12132034355964,0
"11_2D_05","11_2D","11",98,9.75,0,0,NA,162,503,0,0
"11_2D_05","11_2D","11",99,9.875,0,0,NA,162,503,0,0
"11_2D_05","11_2D","11",100,10,0,1,4.70255994796753,163.19,503.66,1.3607718398027,0
"11_2D_05","11_2D","11",101,10.125,0,0,NA,163.19,503.66,0,0
"11_2D_05","11_2D","11",102,10.25,0,1,3.61316752433777,162.78,503.63,0.411096095821888,0
"11_2D_05","11_2D","11",103,10.375,0,0,NA,162.78,503.63,0,0
"11_2D_05","11_2D","11",104,10.5,0,1,4,164,505,1.83447540185199,0.0224999999999628
"11_2D_05","11_2D","11",105,10.625,0,1,4.30334234237671,163.85,505.15,0.212132034355952,0
"11_2D_05","11_2D","11",106,10.75,0,1,4.30334234237671,163.85,505.15,0,0
"11_2D_05","11_2D","11",107,10.875,0,1,4.20155477523804,164,505.36,0.258069758011312,-0.075600000000016
"11_2D_05","11_2D","11",108,11,0,1,4,164,505,0.360000000000014,0
"11_2D_05","11_2D","11",109,11.125,0,1,4.34192895889282,164.16,505,0.159999999999997,-0.00159999999999851
"11_2D_05","11_2D","11",110,11.25,0,1,4.30334234237671,164.15,504.85,0.150332963783706,-0.0730999999999821
"11_2D_05","11_2D","11",111,11.375,0,1,4.69213390350342,164.11,505.34,0.491629942131226,-0.162199999999972
"11_2D_05","11_2D","11",112,11.5,0,1,4.4721360206604,164,505,0.357351367704093,-0.0811999999999933
"11_2D_05","11_2D","11",113,11.625,0,1,4.46820449829102,164.12,505.2,0.233238075793805,-0.0424000000000042
"11_2D_05","11_2D","11",114,11.75,0,1,4.30334234237671,163.85,505.15,0.274590604354932,0
"11_2D_05","11_2D","11",115,11.875,0,0,NA,163.85,505.15,0,0
"11_2D_05","11_2D","11",116,12,0,1,4.18675136566162,168.33,510.73,7.15589267666869,23.0334000000002
"11_2D_05","11_2D","11",117,12.125,0,1,3.61316752433777,170.37,513.22,3.21895945920417,0
"11_2D_05","11_2D","11",118,12.25,0,0,NA,170.37,513.22,0,0
"11_2D_05","11_2D","11",119,12.375,0,0,NA,170.37,513.22,0,0
"11_2D_05","11_2D","11",120,12.5,0,0,NA,170.37,513.22,0,0
"11_2D_05","11_2D","11",121,12.625,0,0,NA,170.37,513.22,0,0
"11_2D_05","11_2D","11",122,12.75,0,1,3.84965634346008,170.3,513.79,0.574282160614385,0
"11_2D_05","11_2D","11",123,12.875,0,0,NA,170.3,513.79,0,0
"11_2D_05","11_2D","11",124,13,0,0,NA,170.3,513.79,0,0
"11_2D_05","11_2D","11",125,13.125,0,1,3.61316752433777,173.37,515.22,3.38670931731676,0
"11_2D_05","11_2D","11",126,13.25,0,0,NA,173.37,515.22,0,0
