"fname","cop_name","plate","frame","sec","drop","blobs","blob_size","x","y","distance","dot_product"
"23_6D_05","23_6D","23",0,-4.625,0,0,NA,669.5,514.5,NA,NA
"23_6D_05","23_6D","23",1,-4.5,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",2,-4.375,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",3,-4.25,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",4,-4.125,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",5,-4,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",6,-3.875,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",7,-3.75,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",8,-3.625,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",9,-3.5,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",10,-3.375,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",11,-3.25,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",12,-3.125,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",13,-3,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",14,-2.875,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",15,-2.75,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",16,-2.625,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",17,-2.5,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",18,-2.375,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",19,-2.25,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",20,-2.125,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",21,-2,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",22,-1.875,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",23,-1.75,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",24,-1.625,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",25,-1.5,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",26,-1.375,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",27,-1.25,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",28,-1.125,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",29,-1,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",30,-0.875,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",31,-0.75,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",32,-0.625,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",33,-0.5,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",34,-0.375,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",35,-0.25,0,0,NA,669.5,514.5,0,0
"23_6D_05","23_6D","23",36,-0.125,0,0,NA,669.5,514.5,0,0
