,frame,x,y,blobs,blob_size,sec,distance,dot_product
0,0.0,400.0,120.5,1.0,3.605551242828369,-10.0,,
1,1.0,400.0,120.5,1.0,3.605551242828369,-9.875,0.0,
2,2.0,400.0,120.5,1.0,3.605551242828369,-9.75,0.0,0.0
3,3.0,400.0,120.5,1.0,3.605551242828369,-9.625,0.0,0.0
4,4.0,400.0,120.5,1.0,3.605551242828369,-9.5,0.0,0.0
5,5.0,400.0,120.5,1.0,3.605551242828369,-9.375,0.0,0.0
6,6.0,400.0,120.5,1.0,3.605551242828369,-9.25,0.0,0.0
7,7.0,400.0,120.5,1.0,3.605551242828369,-9.125,0.0,0.0
8,8.0,404.78,122.7,1.0,4.6222052574157715,-9.0,5.261976814848175,-0.0
9,9.0,408.31,125.14,1.0,4.315976142883301,-8.875,4.29121195002067,22.24140000000005
10,10.0,408.67,125.0,1.0,3.971238136291504,-8.75,0.38626415831657224,0.9292000000000578
11,11.0,408.16,125.0,1.0,4.341928958892822,-8.625,0.5099999999999909,-0.18360000000000368
12,12.0,409.0,127.5,1.0,4.561553001403809,-8.5,2.6373471519691822,-0.42839999999997963
13,13.0,409.64,128.18,1.0,5.291563987731934,-8.375,0.9338094023942958,2.23759999999999
14,14.0,409.27,127.67,1.0,4.186751365661621,-8.25,0.6300793600809413,-0.5836000000000048
15,15.0,409.76,128.07,1.0,4.326507091522217,-8.125,0.6325345840347405,-0.3853000000000033
16,16.0,409.68,128.35,1.0,5.072923183441162,-8.0,0.29120439557121747,0.07280000000000514
17,17.0,409.8,128.43,1.0,4.822849750518799,-7.875,0.1442220510185703,0.01280000000000514
18,18.0,409.9,127.81,1.0,4.732710361480713,-7.75,0.6280127387243023,-0.037600000000011756
19,19.0,410.11,128.34,1.0,4.692133903503418,-7.625,0.5700877125495835,-0.30760000000000665
20,20.0,410.0,128.0,1.0,4.4721360206604,-7.5,0.35735136770412024,-0.20330000000000906
21,21.0,409.78,127.7,1.0,4.6222052574157715,-7.375,0.3720215047547793,0.12620000000000606
22,22.0,409.89,128.26,1.0,4.530705451965332,-7.25,0.5707013229352019,-0.19220000000000081
23,23.0,409.76,128.07,1.0,4.326507091522217,-7.125,0.23021728866442231,-0.12069999999999773
24,24.0,409.89,128.26,1.0,4.530705451965332,-7.0,0.23021728866442231,-0.05299999999999795
25,25.0,409.37,127.93,1.0,4.133206367492676,-6.875,0.615873363606489,-0.1302999999999915
26,26.0,409.67,131.0,1.0,3.971238136291504,-6.75,3.0846231536445363,-1.1690999999999492
27,27.0,409.41,132.72,1.0,3.7962162494659424,-6.625,1.7395401691251604,5.202399999999985
28,28.0,409.67,133.0,1.0,3.971238136291504,-6.5,0.38209946349085067,0.41400000000000636
29,29.0,409.56,132.75,1.0,4.002221584320068,-6.375,0.27313000567495876,-0.09860000000000282
30,30.0,409.41,132.72,1.0,3.7962162494659424,-6.25,0.15297058540776146,0.02399999999999983
31,31.0,409.67,133.0,1.0,3.971238136291504,-6.125,0.38209946349085067,-0.04739999999999307
32,32.0,409.5,133.0,1.0,3.605551242828369,-6.0,0.17000000000001592,-0.04420000000000259
33,33.0,410.15,133.15,1.0,4.303342342376709,-5.875,0.6670832032062958,-0.11050000000000648
