,frame,x,y,blobs,blob_size,sec,distance,dot_product
0,0,649.5,231.28,0,,-2.875,,
1,1.0,649.5,231.28,0,,-2.75,0.0,
2,2.0,649.5,231.28,0,,-2.625,0.0,0.0
3,3.0,649.5,231.28,0,,-2.5,0.0,0.0
4,4.0,649.5,231.28,0,,-2.375,0.0,0.0
5,5.0,649.5,231.28,0,,-2.25,0.0,0.0
6,6.0,649.5,231.28,0,,-2.125,0.0,0.0
7,7.0,649.5,231.28,0,,-2.0,0.0,0.0
8,8.0,649.5,231.28,0,,-1.875,0.0,0.0
9,9.0,649.5,231.28,0,,-1.75,0.0,0.0
10,10.0,649.5,231.28,0,,-1.625,0.0,0.0
11,11.0,649.5,231.28,0,,-1.5,0.0,0.0
12,12.0,649.5,231.28,0,,-1.375,0.0,0.0
13,13.0,649.5,231.28,0,,-1.25,0.0,0.0
14,14.0,649.5,231.28,0,,-1.125,0.0,0.0
15,15.0,649.5,231.28,0,,-1.0,0.0,0.0
16,16.0,649.5,231.28,0,,-0.875,0.0,0.0
17,17.0,649.5,231.28,0,,-0.75,0.0,0.0
18,18.0,649.5,231.28,0,,-0.625,0.0,0.0
19,19.0,649.5,231.28,0,,-0.5,0.0,0.0
20,20.0,649.5,231.28,0,,-0.375,0.0,0.0
21,21.0,649.5,231.28,0,,-0.25,0.0,0.0
22,22.0,649.5,231.28,0,,-0.125,0.0,0.0
23,23.0,649.5,231.28,0,,0.0,0.0,0.0
24,24.0,649.5,231.28,0,,0.125,0.0,0.0
25,25.0,649.5,231.28,0,,0.25,0.0,0.0
26,26.0,649.5,231.28,0,,0.375,0.0,0.0
27,27.0,649.5,231.28,0,,0.5,0.0,0.0
28,28.0,649.5,231.28,0,,0.625,0.0,0.0
29,29.0,649.5,231.28,0,,0.75,0.0,0.0
30,30.0,649.5,231.28,0,,0.875,0.0,0.0
31,31.0,649.5,231.28,0,,1.0,0.0,0.0
32,32.0,649.5,231.28,0,,1.125,0.0,0.0
33,33.0,649.5,231.28,0,,1.25,0.0,0.0
34,34.0,649.5,231.28,0,,1.375,0.0,0.0
35,35.0,649.5,231.28,0,,1.5,0.0,0.0
36,36.0,649.5,231.28,0,,1.625,0.0,0.0
37,37.0,649.5,231.28,1.0,3.576000213623047,1.75,0.0,0.0
38,38.0,649.5,231.28,0,,1.875,0.0,0.0
39,39.0,648.5,229.5,1.0,3.1622776985168457,2.0,2.0416659863944453,0.0
40,40.0,647.81,228.0,1.0,3.1094911098480225,2.125,1.6510905486980643,3.3600000000000563
41,41.0,647.63,226.22,1.0,3.6131675243377686,2.25,1.7890779748238996,2.794199999999977
42,42.0,647.63,226.22,0,,2.375,0.0,0.0
43,43.0,647.63,226.22,0,,2.5,0.0,0.0
44,44.0,647.63,225.78,1.0,3.6131675243377686,2.625,0.4399999999999977,0.0
45,45.0,647.28,224.5,1.0,3.576000213623047,2.75,1.326989073052231,0.5631999999999976
46,46.0,647.28,224.5,0,,2.875,0.0,0.0
47,47.0,647.5,224.0,1.0,3.864328384399414,3.0,0.5462600113499175,0.0
48,48.0,647.63,223.78,1.0,3.6131675243377686,3.125,0.25553864678360944,0.13860000000000197
49,49.0,647.33,224.0,1.0,4.051835536956787,3.25,0.3720215047547281,-0.08739999999999222
50,50.0,647.5,223.5,1.0,3.1622776985168457,3.375,0.5281098370604226,-0.16099999999997944
51,51.0,647.63,223.78,1.0,3.6131675243377686,3.5,0.30870698080866177,-0.11790000000000667
52,52.0,647.33,224.0,1.0,4.051835536956787,3.625,0.3720215047547281,0.02260000000000721
53,53.0,647.5,223.5,1.0,3.1622776985168457,3.75,0.5281098370604226,-0.16099999999997944
54,54.0,647.5,223.5,0,,3.875,0.0,0.0
55,55.0,647.5,224.0,1.0,3.605551242828369,4.0,0.5,0.0
56,56.0,647.5,224.5,1.0,3.1622776985168457,4.125,0.5,0.25
57,57.0,647.5,224.5,0,,4.25,0.0,0.0
58,58.0,647.5,224.5,0,,4.375,0.0,0.0
59,59.0,647.5,224.5,0,,4.5,0.0,0.0
60,60.0,647.5,224.5,0,,4.625,0.0,0.0
61,61.0,647.5,224.5,0,,4.75,0.0,0.0
62,62.0,647.5,224.5,0,,4.875,0.0,0.0
63,63.0,647.5,224.5,0,,5.0,0.0,0.0
64,64.0,647.5,224.5,0,,5.125,0.0,0.0
65,65.0,647.5,224.5,0,,5.25,0.0,0.0
66,66.0,647.5,224.5,0,,5.375,0.0,0.0
67,67.0,647.5,224.5,0,,5.5,0.0,0.0
68,68.0,647.5,224.5,0,,5.625,0.0,0.0
69,69.0,665.5,204.72,1.0,3.576000213623047,5.75,26.744128327541357,0.0
70,70.0,665.5,204.72,0,,5.875,0.0,0.0
71,71.0,665.5,204.72,0,,6.0,0.0,0.0
72,72.0,665.5,204.72,0,,6.125,0.0,0.0
73,73.0,665.5,204.72,0,,6.25,0.0,0.0
74,74.0,665.5,204.72,0,,6.375,0.0,0.0
75,75.0,666.0,204.81,1.0,3.1094911098480225,6.5,0.5080354318352222,-0.0
76,76.0,666.5,204.72,1.0,3.576000213623047,6.625,0.5080354318352222,0.2418999999999994
77,77.0,666.5,204.72,0,,6.75,0.0,0.0
78,78.0,668.22,204.63,1.0,3.6131675243377686,6.875,1.7223530416265111,0.0
79,79.0,668.22,204.63,0,,7.0,0.0,0.0
80,80.0,668.22,204.63,0,,7.125,0.0,0.0
81,81.0,668.22,204.63,0,,7.25,0.0,0.0
82,82.0,668.22,204.63,0,,7.375,0.0,0.0
83,83.0,668.22,204.63,0,,7.5,0.0,0.0
84,84.0,668.5,205.0,1.0,3.605551242828369,7.625,0.46400431032479433,-0.0
85,85.0,668.5,205.0,0,,7.75,0.0,-0.0
86,86.0,668.5,205.0,1.0,3.605551242828369,7.875,0.0,0.0
87,87.0,668.5,205.0,0,,8.0,0.0,0.0
88,88.0,668.5,205.0,0,,8.125,0.0,0.0
89,89.0,668.5,205.0,0,,8.25,0.0,0.0
90,90.0,668.5,205.0,0,,8.375,0.0,0.0
91,91.0,668.5,205.0,0,,8.5,0.0,0.0
92,92.0,668.22,204.63,1.0,3.6131675243377686,8.625,0.46400431032479433,0.0
93,93.0,668.22,204.63,1.0,3.6131675243377686,8.75,0.0,0.0
94,94.0,668.22,204.63,1.0,3.6131675243377686,8.875,0.0,0.0
95,95.0,668.22,204.63,0,,9.0,0.0,0.0
96,96.0,668.22,204.63,0,,9.125,0.0,0.0
97,97.0,668.22,204.63,0,,9.25,0.0,0.0
98,98.0,668.22,204.63,0,,9.375,0.0,0.0
99,99.0,668.22,204.63,0,,9.5,0.0,0.0
100,100.0,668.22,204.63,0,,9.625,0.0,0.0
101,101.0,668.22,204.63,0,,9.75,0.0,0.0
102,102.0,668.22,204.63,0,,9.875,0.0,0.0
103,103.0,668.22,204.63,0,,10.0,0.0,0.0
104,104.0,668.22,204.63,0,,10.125,0.0,0.0
105,105.0,668.22,204.63,0,,10.25,0.0,0.0
106,106.0,668.22,204.63,0,,10.375,0.0,0.0
107,107.0,668.22,204.63,0,,10.5,0.0,0.0
108,108.0,668.22,204.63,0,,10.625,0.0,0.0
109,109.0,668.22,204.63,0,,10.75,0.0,0.0
110,110.0,668.22,204.63,0,,10.875,0.0,0.0
111,111.0,668.22,204.63,0,,11.0,0.0,0.0
112,112.0,668.22,204.63,0,,11.125,0.0,0.0
113,113.0,668.22,204.63,0,,11.25,0.0,0.0
114,114.0,668.22,204.63,0,,11.375,0.0,0.0
115,115.0,668.22,204.63,0,,11.5,0.0,0.0
116,116.0,668.22,204.63,0,,11.625,0.0,0.0
117,117.0,668.22,204.63,0,,11.75,0.0,0.0
118,118.0,668.22,204.63,0,,11.875,0.0,0.0
119,119.0,668.22,204.63,0,,12.0,0.0,0.0
120,120.0,668.22,204.63,0,,12.125,0.0,0.0
121,121.0,668.22,204.63,0,,12.25,0.0,0.0
122,122.0,668.22,204.63,0,,12.375,0.0,0.0
123,123.0,668.22,204.63,0,,12.5,0.0,0.0
124,124.0,668.22,204.63,0,,12.625,0.0,0.0
125,125.0,668.22,204.63,0,,12.75,0.0,0.0
126,126.0,668.22,204.63,0,,12.875,0.0,0.0
127,127.0,668.22,204.63,0,,13.0,0.0,0.0
128,128.0,668.22,204.63,0,,13.125,0.0,0.0
129,129.0,668.22,204.63,0,,13.25,0.0,0.0
130,130.0,668.22,204.63,0,,13.375,0.0,0.0
131,131.0,668.22,204.63,0,,13.5,0.0,0.0
132,132.0,668.22,204.63,0,,13.625,0.0,0.0
133,133.0,668.22,204.63,0,,13.75,0.0,0.0
134,134.0,668.22,204.63,0,,13.875,0.0,0.0
135,135.0,668.22,204.63,0,,14.0,0.0,0.0
136,136.0,668.22,204.63,0,,14.125,0.0,0.0
137,137.0,668.22,204.63,0,,14.25,0.0,0.0
138,138.0,668.22,204.63,0,,14.375,0.0,0.0
139,139.0,668.22,204.63,0,,14.5,0.0,0.0
140,140.0,668.22,204.63,0,,14.625,0.0,0.0
141,141.0,668.22,204.63,0,,14.75,0.0,0.0
142,142.0,668.22,204.63,0,,14.875,0.0,0.0
143,143.0,668.22,204.63,0,,15.0,0.0,0.0
144,144.0,668.22,204.63,0,,15.125,0.0,0.0
145,145.0,668.22,204.63,0,,15.25,0.0,0.0
146,146.0,668.22,204.63,0,,15.375,0.0,0.0
147,147.0,668.22,204.63,0,,15.5,0.0,0.0
148,148.0,668.22,204.63,0,,15.625,0.0,0.0
149,149.0,668.22,204.63,0,,15.75,0.0,0.0
150,150.0,668.22,204.63,0,,15.875,0.0,0.0
151,151.0,668.22,204.63,0,,16.0,0.0,0.0
152,152.0,668.22,204.63,0,,16.125,0.0,0.0
153,153.0,668.22,204.63,0,,16.25,0.0,0.0
154,154.0,668.22,204.63,0,,16.375,0.0,0.0
155,155.0,668.22,204.63,0,,16.5,0.0,0.0
156,156.0,668.22,204.63,0,,16.625,0.0,0.0
157,157.0,668.22,204.63,0,,16.75,0.0,0.0
158,158.0,668.22,204.63,0,,16.875,0.0,0.0
159,159.0,668.22,204.63,0,,17.0,0.0,0.0
160,160.0,668.22,204.63,0,,17.125,0.0,0.0
161,161.0,668.22,204.63,0,,17.25,0.0,0.0
162,162.0,668.22,204.63,0,,17.375,0.0,0.0
163,163.0,668.22,204.63,0,,17.5,0.0,0.0
164,164.0,668.22,204.63,0,,17.625,0.0,0.0
165,165.0,668.22,204.63,0,,17.75,0.0,0.0
166,166.0,668.22,204.63,0,,17.875,0.0,0.0
167,167.0,668.22,204.63,0,,18.0,0.0,0.0
168,168.0,668.22,204.63,0,,18.125,0.0,0.0
169,169.0,668.22,204.63,0,,18.25,0.0,0.0
170,170.0,668.22,204.63,0,,18.375,0.0,0.0
171,171.0,668.22,204.63,0,,18.5,0.0,0.0
172,172.0,668.22,204.63,0,,18.625,0.0,0.0
173,173.0,668.22,204.63,0,,18.75,0.0,0.0
174,174.0,668.22,204.63,0,,18.875,0.0,0.0
175,175.0,668.22,204.63,0,,19.0,0.0,0.0
176,176.0,668.22,204.63,0,,19.125,0.0,0.0
177,177.0,668.22,204.63,0,,19.25,0.0,0.0
178,178.0,668.22,204.63,0,,19.375,0.0,0.0
179,179.0,668.22,204.63,0,,19.5,0.0,0.0
180,180.0,668.22,204.63,0,,19.625,0.0,0.0
181,181.0,668.22,204.63,0,,19.75,0.0,0.0
182,182.0,668.22,204.63,0,,19.875,0.0,0.0
183,183.0,668.22,204.63,0,,20.0,0.0,0.0
184,184.0,668.22,204.63,0,,20.125,0.0,0.0
185,185.0,668.22,204.63,0,,20.25,0.0,0.0
186,186.0,668.22,204.63,0,,20.375,0.0,0.0
187,187.0,668.22,204.63,0,,20.5,0.0,0.0
188,188.0,668.22,204.63,0,,20.625,0.0,0.0
189,189.0,668.22,204.63,0,,20.75,0.0,0.0
190,190.0,668.22,204.63,0,,20.875,0.0,0.0
191,191.0,668.22,204.63,0,,21.0,0.0,0.0
192,192.0,668.22,204.63,0,,21.125,0.0,0.0
193,193.0,668.22,204.63,0,,21.25,0.0,0.0
194,194.0,668.22,204.63,0,,21.375,0.0,0.0
195,195.0,668.22,204.63,0,,21.5,0.0,0.0
196,196.0,668.22,204.63,0,,21.625,0.0,0.0
197,197.0,668.22,204.63,0,,21.75,0.0,0.0
198,198.0,668.22,204.63,0,,21.875,0.0,0.0
199,199.0,668.22,204.63,0,,22.0,0.0,0.0
200,200.0,668.22,204.63,0,,22.125,0.0,0.0
201,201.0,668.22,204.63,0,,22.25,0.0,0.0
202,202.0,668.22,204.63,0,,22.375,0.0,0.0
203,203.0,668.22,204.63,0,,22.5,0.0,0.0
204,204.0,680.28,202.59,1.0,3.7962162494659424,22.625,12.231320452019833,0.0
205,205.0,680.28,202.59,0,,22.75,0.0,0.0
206,206.0,686.37,198.37,1.0,3.5036489963531494,22.875,7.409217232609689,0.0
207,207.0,686.37,198.37,0,,23.0,0.0,0.0
208,208.0,693.78,192.63,1.0,3.6131675243377686,23.125,9.373137148255095,0.0
209,209.0,695.0,190.67,1.0,3.971238136291504,23.25,2.30867927612306,20.290600000000225
210,210.0,695.37,190.78,1.0,3.6131675243377686,23.375,0.38600518131238387,0.23579999999998802
211,211.0,695.67,191.0,1.0,3.971238136291504,23.5,0.3720215047547281,0.1351999999999874
212,212.0,695.3,191.21,1.0,3.849656343460083,23.625,0.4254409477236608,-0.06479999999998304
213,213.0,695.5,190.5,1.0,3.1622776985168457,23.75,0.7376313442364211,-0.22310000000002506
214,214.0,695.5,190.5,1.0,3.1622776985168457,23.875,0.0,0.0
215,215.0,695.0,190.67,1.0,3.971238136291504,24.0,0.5281098370604317,0.0
216,216.0,695.0,190.67,0,,24.125,0.0,0.0
217,217.0,695.0,190.67,0,,24.25,0.0,0.0
218,218.0,695.5,190.5,1.0,3.1622776985168457,24.375,0.5281098370604317,0.0
219,219.0,697.5,188.5,1.0,3.1622776985168457,24.5,2.8284271247461903,1.339999999999975
220,220.0,697.5,188.5,0,,24.625,0.0,0.0
221,221.0,697.5,188.5,1.0,3.1622776985168457,24.75,0.0,0.0
222,222.0,697.5,188.5,0,,24.875,0.0,0.0
223,223.0,697.5,188.5,0,,25.0,0.0,0.0
224,224.0,697.5,188.5,1.0,3.1622776985168457,25.125,0.0,0.0
225,225.0,697.5,188.5,1.0,3.1622776985168457,25.25,0.0,0.0
226,226.0,698.22,188.37,1.0,3.6131675243377686,25.375,0.7316419889536399,0.0
227,227.0,698.22,188.37,0,,25.5,0.0,0.0
228,228.0,698.22,188.37,0,,25.625,0.0,0.0
229,229.0,698.0,188.33,1.0,3.971238136291504,25.75,0.2236067977500044,0.0
230,230.0,698.37,188.22,1.0,3.6131675243377686,25.875,0.38600518131238387,-0.07700000000001143
231,231.0,698.5,188.5,1.0,3.1622776985168457,26.0,0.30870698080866177,0.017299999999994962
232,232.0,698.5,188.5,1.0,3.1622776985168457,26.125,0.0,-0.0
233,233.0,698.0,188.0,1.0,4.0,26.25,0.7071067811865476,0.0
234,234.0,698.23,188.58,1.0,4.53098201751709,26.375,0.6239390995922782,-0.40500000000001535
235,235.0,698.5,188.0,1.0,3.605551242828369,26.5,0.6397655820689362,-0.2743000000000138
236,236.0,698.63,187.63,1.0,3.5036489963531494,26.625,0.3921734310225543,0.24970000000000367
237,237.0,698.63,187.63,0,,26.75,0.0,0.0
238,238.0,699.46,186.89,1.0,4.595170497894287,26.875,1.1119802156513763,0.0
239,239.0,698.85,187.0,1.0,4.011234283447266,27.0,0.6198386886924853,-0.5877000000000474
240,240.0,698.85,187.0,0,,27.125,0.0,0.0
241,241.0,699.0,187.0,1.0,4.0,27.25,0.14999999999997726,0.0
242,242.0,699.63,186.63,1.0,3.5036489963531494,27.375,0.7306161783043116,0.094499999999985
243,243.0,699.63,186.63,0,,27.5,0.0,0.0
244,244.0,699.15,186.75,1.0,4.323126316070557,27.625,0.49477267507413797,0.0
245,245.0,699.15,186.75,0,,27.75,0.0,0.0
246,246.0,699.15,187.0,1.0,4.011234283447266,27.875,0.25,0.0
