,frame,x,y,blobs,blob_size,sec,distance,dot_product
0,0.0,80.25,374.27,1.0,4.277985095977783,-2.125,,
1,1.0,72.65,374.0,1.0,5.1094512939453125,-2.0,7.604794540288377,
2,2.0,66.0,374.19,1.0,4.820444583892822,-1.875,6.652713732004412,50.48870000000001
3,3.0,57.85,373.85,1.0,4.4892377853393555,-1.75,8.157088941528096,54.13290000000004
4,4.0,50.2,372.88,1.0,4.468204498291016,-1.625,7.711251519695103,62.67729999999996
5,5.0,46.59,372.52,1.0,4.07996129989624,-1.5,3.627905731961624,27.965700000000016
6,6.0,45.19,372.0,1.0,3.1094911098480225,-1.375,1.4934523762075564,5.2412000000000205
7,7.0,45.0,372.0,1.0,3.4142136573791504,-1.25,0.18999999999999773,0.2659999999999979
8,8.0,45.0,372.0,0,,-1.125,0.0,0.0
9,9.0,45.0,372.0,0,,-1.0,0.0,0.0
10,10.0,45.0,372.0,0,,-0.875,0.0,0.0
11,11.0,45.0,372.0,0,,-0.75,0.0,0.0
12,12.0,45.0,372.0,0,,-0.625,0.0,0.0
13,13.0,45.0,372.0,0,,-0.5,0.0,0.0
14,14.0,45.0,372.0,0,,-0.375,0.0,0.0
15,15.0,45.0,372.0,0,,-0.25,0.0,0.0
16,16.0,45.0,372.0,0,,-0.125,0.0,0.0
17,17.0,45.0,372.0,0,,0.0,0.0,0.0
18,18.0,40.19,303.0,1.0,3.1094911098480225,0.125,69.167449714443,0.0
19,19.0,40.19,303.0,0,,0.25,0.0,0.0
20,20.0,40.19,303.0,0,,0.375,0.0,0.0
21,21.0,40.19,303.0,0,,0.5,0.0,0.0
22,22.0,40.19,303.0,0,,0.625,0.0,0.0
23,23.0,40.19,303.0,0,,0.75,0.0,0.0
24,24.0,40.19,303.0,0,,0.875,0.0,0.0
25,25.0,40.19,303.0,0,,1.0,0.0,0.0
26,26.0,40.19,303.0,0,,1.125,0.0,0.0
27,27.0,40.19,303.0,0,,1.25,0.0,0.0
28,28.0,40.16,370.0,1.0,4.341928958892822,1.375,67.00000671641757,0.0
29,29.0,39.19,368.1,1.0,4.732710361480713,1.5,2.1332838535928387,-127.27089999999848
30,30.0,36.85,364.15,1.0,4.303342342376709,1.625,4.591089195387119,9.77479999999999
31,31.0,36.85,364.15,0,,1.75,0.0,0.0
32,32.0,36.85,364.15,0,,1.875,0.0,0.0
33,33.0,36.85,364.15,0,,2.0,0.0,0.0
34,34.0,36.85,364.15,0,,2.125,0.0,0.0
35,35.0,35.5,361.0,1.0,3.3027756214141846,2.25,3.4270978976387383,0.0
36,36.0,31.82,361.67,1.0,3.6131675243377686,2.375,3.740494619699381,2.8574999999999697
37,37.0,35.37,361.22,1.0,3.6131675243377686,2.5,3.5784074670165733,-13.365499999999988
38,38.0,32.15,361.65,1.0,3.6131675243377686,2.625,3.2485843070482177,-11.624499999999959
39,39.0,31.07,361.36,1.0,3.1094911098480225,2.75,1.118257573191425,3.352900000000023
40,40.0,30.14,361.45,1.0,3.3027756214141846,2.875,0.9343446901438435,0.9783000000000087
41,41.0,35.5,361.5,1.0,3.1622776985168457,3.0,5.360233203882085,-4.980299999999998
42,42.0,35.37,361.22,1.0,3.6131675243377686,3.125,0.30870698080863895,-0.7108000000000154
43,43.0,35.57,361.23,1.0,4.545217514038086,3.25,0.20024984394501025,-0.02879999999999806
44,44.0,35.57,361.23,0,,3.375,0.0,-0.0
45,45.0,28.76,345.55,1.0,4.666472434997559,3.5,17.09498464462604,0.0
46,46.0,30.33,345.86,1.0,4.561553001403809,3.625,1.6003124694883781,-15.552500000000013
47,47.0,30.25,345.68,1.0,4.696133136749268,3.75,0.19697715603592764,-0.18139999999999956
48,48.0,34.43,346.77,1.0,4.545217514038086,3.875,4.319780086995164,-0.5305999999999957
49,49.0,30.42,345.42,1.0,3.1094911098480225,4.0,4.231146416752781,-18.233299999999918
50,50.0,34.5,346.5,1.0,4.242640495300293,4.125,4.220521294816549,-17.818799999999925
51,51.0,30.69,346.14,1.0,3.1094911098480225,4.25,3.826970080886445,-15.933599999999997
52,52.0,34.59,346.72,1.0,3.7962162494659424,4.375,3.942892339387428,-15.067800000000027
53,53.0,34.5,346.5,1.0,4.242640495300293,4.5,0.23769728648012078,-0.47860000000003833
54,54.0,30.71,346.09,1.0,3.1094911098480225,4.625,3.8121122753665078,0.43130000000002955
55,55.0,34.5,347.0,1.0,3.864328384399414,4.75,3.8977172806657023,-14.737200000000026
56,56.0,34.5,347.0,1.0,3.605551242828369,4.875,0.0,-0.0
57,57.0,29.19,346.02,1.0,4.249183654785156,5.0,5.399675916200899,0.0
58,58.0,34.59,346.72,1.0,3.7962162494659424,5.125,5.445181356024801,-29.36000000000006
59,59.0,34.59,346.72,0,,5.25,0.0,-0.0
60,60.0,34.64,334.19,1.0,3.6131675243377686,5.375,12.530099760177519,0.0
61,61.0,34.65,332.08,1.0,3.1622776985168457,5.5,2.110023696549415,26.43880000000023
62,62.0,35.96,332.47,1.0,4.011234283447266,5.625,1.3668211294825814,-0.809800000000099
63,63.0,37.36,333.35,1.0,3.3027756214141846,5.75,1.6536021286875473,2.1772000000000378
64,64.0,34.47,331.92,1.0,3.1622776985168457,5.875,3.224437935516828,-5.304399999999996
65,65.0,35.02,332.3,1.0,3.1622776985168457,6.0,0.6685057965343316,-2.1329000000000087
66,66.0,39.0,334.16,1.0,4.341928958892822,6.125,4.393176527297762,2.895800000000012
67,67.0,34.31,331.88,1.0,3.1622776985168457,6.25,5.214834609074396,-22.90700000000006
68,68.0,36.34,332.67,1.0,3.1094911098480225,6.375,2.178302091079205,-11.321900000000072
69,69.0,34.6,332.08,1.0,3.1622776985168457,6.5,1.8373078130787024,-3.9983000000000435
70,70.0,35.8,332.74,1.0,3.6345863342285156,6.625,1.3695254652616076,-2.4774000000000305
71,71.0,38.81,334.0,1.0,4.820444583892822,6.75,3.2630813658258675,4.443600000000019
72,72.0,38.91,333.84,1.0,5.301436424255371,6.875,0.1886796226411503,0.09939999999995333
73,73.0,38.91,333.84,1.0,5.301436424255371,7.0,0.0,0.0
74,74.0,34.76,332.41,1.0,3.6131675243377686,7.125,4.389464659841773,0.0
75,75.0,35.17510986328125,332.60614013671875,2.0,3.6131675243377686,7.25,0.4591156192348719,-2.0031863281249622
76,76.0,35.37,332.73,1.0,3.6131675243377686,7.375,0.23091866776487888,0.10519470852613429
77,77.0,34.54,331.99,1.0,3.1622776985168457,7.5,1.1119802156513445,-0.2534151123046996
78,78.0,35.79,332.77,1.0,3.6131675243377686,7.625,1.473397434502978,-1.614699999999985
79,79.0,33.85,331.67,1.0,3.1622776985168457,7.75,2.2301569451498064,-3.2829999999999404
80,80.0,35.67,332.57,1.0,3.6131675243377686,7.875,2.030369424513667,-4.520799999999941
81,81.0,34.35,331.89,1.0,3.1622776985168457,8.0,1.4848568954616503,-3.0143999999999918
82,82.0,34.35,331.89,0,,8.125,0.0,0.0
83,83.0,34.65,332.08,1.0,3.1622776985168457,8.25,0.3551056180912905,-0.0
84,84.0,34.19,331.88,1.0,3.1622776985168457,8.375,0.5015974481593743,-0.17599999999999633
85,85.0,40.5,332.0,1.0,3.3027756214141846,8.5,6.311140942808996,-2.926600000000006
86,86.0,44.5,324.5,1.0,4.242640495300293,8.625,8.5,24.339999999999975
87,87.0,45.9,322.19,1.0,4.732710361480713,8.75,2.7011293934204645,22.92500000000001
88,88.0,47.47,321.39,1.0,5.1036248207092285,8.875,1.7620726432244556,4.046000000000026
