,frame,x,y,blobs,blob_size,sec,distance,dot_product
0,0,607.36,452.0,0,,-2.5,,
1,1.0,607.36,452.0,0,,-2.375,0.0,
2,2.0,607.36,452.0,0,,-2.25,0.0,0.0
3,3.0,607.36,452.0,0,,-2.125,0.0,0.0
4,4.0,607.36,452.0,0,,-2.0,0.0,0.0
5,5.0,607.36,452.0,0,,-1.875,0.0,0.0
6,6.0,607.36,452.0,1.0,4.201554775238037,-1.75,0.0,0.0
7,7.0,608.0,453.85,1.0,4.011234283447266,-1.625,1.9575750304905473,-0.0
8,8.0,608.0,453.85,0,,-1.5,0.0,-0.0
9,9.0,609.0,456.5,1.0,4.561553001403809,-1.375,2.8324018076536883,-0.0
10,10.0,609.66,457.89,1.0,4.692133903503418,-1.25,1.5387332452377573,4.3434999999999
11,11.0,610.44,460.18,1.0,5.129790306091309,-1.125,2.419194080680636,3.6979000000000295
12,12.0,610.44,460.18,0,,-1.0,0.0,-0.0
13,13.0,610.44,460.18,0,,-0.875,0.0,0.0
14,14.0,610.44,460.18,0,,-0.75,0.0,0.0
15,15.0,610.44,460.18,0,,-0.625,0.0,0.0
16,16.0,610.44,460.18,0,,-0.5,0.0,0.0
17,17.0,610.44,460.18,0,,-0.375,0.0,0.0
18,18.0,610.44,460.18,0,,-0.25,0.0,0.0
19,19.0,610.44,460.18,0,,-0.125,0.0,0.0
20,20.0,610.44,460.18,0,,0.0,0.0,0.0
21,21.0,612.0,467.5,1.0,4.123105525970459,0.125,7.484383742166066,-0.0
22,22.0,612.41,467.72,1.0,3.7962162494659424,0.25,0.4652956049652585,2.250000000000126
23,23.0,612.5,468.0,1.0,3.605551242828369,0.375,0.2941088233970386,0.09850000000001183
24,24.0,612.19,468.19,1.0,3.6345863342285156,0.5,0.3635931792539091,0.025299999999989227
25,25.0,612.67,468.0,1.0,3.971238136291504,0.625,0.5162363799655226,-0.18489999999994333
26,26.0,612.63,468.22,1.0,3.6131675243377686,0.75,0.2236067977499993,-0.0609999999999834
27,27.0,612.67,468.0,1.0,3.971238136291504,0.875,0.2236067977499993,-0.05000000000000909
28,28.0,612.5,468.0,1.0,3.605551242828369,1.0,0.16999999999995907,-0.006799999999992179
29,29.0,612.5,468.0,1.0,3.605551242828369,1.125,0.0,0.0
30,30.0,612.5,468.0,1.0,3.605551242828369,1.25,0.0,0.0
31,31.0,612.5,468.0,1.0,3.605551242828369,1.375,0.0,0.0
32,32.0,612.5,468.0,1.0,3.605551242828369,1.5,0.0,0.0
