,day,drop,file_name,fps,frames,height,plate,tracked,width
108,13,,pl60_day13.mov,7.987,993,576,60,No,784
109,13,,pl61_day13.mov,7.987,994,576,61,No,784
110,13,,pl62_day13.mov,7.987,994,576,62,No,784
111,13,,pl63_day13.mov,7.987,996,576,63,No,784
112,13,,pl64_day13.mov,7.987,994,576,64,No,784
113,13,,pl65_day13.mov,7.987,1034,576,65,No,784
114,13,,pl66_day13.mov,7.987,994,576,66,No,784
115,13,,pl67_day13.mov,7.987,1005,576,67,No,784
116,13,,pl68_day13.mov,7.987,993,576,68,No,784
117,13,,pl69_day13.mov,7.987,995,576,69,No,784
118,13,,pl70_day13.mov,7.987,996,576,70,No,784
119,13,,pl71_day13.mov,7.987,1007,576,71,No,784
120,13,,pl72_day13.mov,7.987,991,576,72,No,784
121,13,,pl73_day13.mov,7.987,995,576,73,No,784
122,13,,pl74_day13.mov,7.987,994,576,74,No,784
123,13,,plt10_day13.mov,7.987,1003,576,10,No,784
124,13,,plt11_day13.mov,7.987,995,576,11,No,784
125,13,,plt12_day13.mov,7.987,1021,576,12,No,784
126,13,,plt13_day13.mov,7.987,1012,576,13,No,784
127,13,,plt14_day13.mov,7.987,982,576,14,No,784
128,13,,plt15_day13.mov,7.987,988,576,15,No,784
129,13,,plt16_day13.mov,7.987,987,576,16,No,784
130,13,,plt17_day13.mov,7.987,1003,576,17,No,784
131,13,,plt18_day13.mov,7.987,987,576,18,No,784
132,13,,plt19_day13.mov,7.987,1046,576,19,No,784
133,13,,plt1_day13.mov,7.987,1037,576,01,No,784
134,13,,plt20_day13.mov,7.987,987,576,20,No,784
135,13,,plt21_day13.mov,7.987,993,576,21,No,784
136,13,,plt22_day13.mov,7.987,1004,576,22,No,784
137,13,,plt23_day13.mov,7.987,1043,576,23,No,784
138,13,,plt24_day13.mov,7.987,1012,576,24,No,784
139,13,,plt25_day13.mov,7.987,988,576,25,No,784
140,13,,plt2_day13.mov,7.987,990,576,02,No,784
141,13,,plt3_day13.mov,7.987,986,576,03,No,784
142,13,,plt4_day13.mov,7.987,1069,576,04,No,784
143,13,,plt5_day13.mov,7.987,1032,576,05,No,784
144,13,,plt6_day13.mov,7.987,988,576,06,No,784
145,13,,plt7_day13.mov,7.987,1000,576,07,No,784
146,13,,plt8_day13.mov,7.987,1011,576,08,No,784
147,13,,plt9_day13.mov,7.987,997,576,09,No,784
148,15,,pl26_day15.mov,7.987,994,576,26,No,784
149,15,,pl27_day15.mov,7.987,995,576,27,No,784
150,15,,pl28_day15.mov,7.987,994,576,28,No,784
151,15,,pl29_day15.mov,7.987,995,576,29,No,784
152,15,,pl30_day15.mov,7.987,995,576,30,No,784
153,15,,pl31_day15.mov,7.987,993,576,31,No,784
154,15,,pl32_day15.mov,7.987,999,576,32,No,784
155,15,,pl33_day15.mov,7.987,995,576,33,No,784
156,15,,pl34_day15.mov,7.987,993,576,34,No,784
157,15,,pl35_day15.mov,7.987,1006,576,35,No,784
158,15,,pl36_day15.mov,7.987,999,576,36,No,784
159,15,,pl37_day15.mov,7.987,996,576,37,No,784
160,15,,pl38_day15.mov,7.987,1003,576,38,No,784
161,15,,pl39_day15.mov,7.987,993,576,39,No,784
162,15,,pl40_day15.mov,7.987,997,576,40,No,784
163,15,,pl41_day15.mov,7.987,996,576,41,No,784
164,15,,pl42_day15.mov,7.987,993,576,42,No,784
165,15,,pl43_day15.mov,7.987,994,576,43,No,784
166,15,,pl44_day15.mov,7.987,994,576,44,No,784
167,15,,pl45_day15.mov,7.987,996,576,45,No,784
168,15,,pl46_day15.mov,7.987,995,576,46,No,784
169,15,,pl47_day15.mov,7.987,994,576,47,No,784
170,15,,pl48_day15.mov,7.987,1010,576,48,No,784
171,15,,pl49_day15.mov,7.987,998,576,49,No,784
172,15,,pl50_day15.mov,7.987,993,576,50,No,784
173,15,,pl51_day15.mov,7.987,996,576,51,No,784
174,15,,pl52_day15.mov,7.987,1037,576,52,No,784
175,15,,pl53_day15.mov,7.987,994,576,53,No,784
176,15,,pl54_day15.mov,7.987,997,576,54,No,784
177,15,,pl55_day15.mov,7.987,993,576,55,No,784
178,15,,pl56_day15.mov,7.987,993,576,56,No,784
179,15,,pl57_day15.mov,7.987,993,576,57,No,784
180,15,,pl58_day15.mov,7.987,995,576,58,No,784
181,15,,pl59_day15.mov,7.987,994,576,59,No,784
182,15,,pl60_day15.mov,7.987,994,576,60,No,784
183,15,,pl61_day15.mov,7.987,994,576,61,No,784
184,15,,pl62_day15.mov,7.987,1000,576,62,No,784
185,15,,pl63_day15.mov,7.987,1003,576,63,No,784
186,15,,pl64_day15.mov,7.987,994,576,64,No,784
187,15,,pl65_day15.mov,7.987,996,576,65,No,784
188,15,,pl66_day15.mov,7.987,993,576,66,No,784
189,15,,pl67_day15.mov,7.987,996,576,67,No,784
190,15,,pl68_day15.mov,7.987,992,576,68,No,784
191,15,,pl69_day15.mov,7.987,996,576,69,No,784
192,15,,pl70_day15.mov,7.987,986,576,70,No,784
193,15,,pl71_day15.mov,7.987,997,576,71,No,784
194,15,,pl72_day15.mov,7.987,1034,576,72,No,784
195,15,,pl73_day15.mov,7.987,988,576,73,No,784
196,15,,pl74_day15.mov,7.987,994,576,74,No,784
197,15,,plt10_day15.mov,7.987,1031,576,10,No,784
198,15,,plt11_day15.mov,7.987,1041,576,11,No,784
199,15,,plt12_day15.mov,7.987,1016,576,12,No,784
200,15,,plt13_day15.mov,7.987,992,576,13,No,784
201,15,,plt14_day15.mov,7.987,997,576,14,No,784
202,15,,plt15_day15.mov,7.987,994,576,15,No,784
203,15,,plt16_day15.mov,7.987,995,576,16,No,784
204,15,,plt17_day15.mov,7.987,1002,576,17,No,784
205,15,,plt18_day15.mov,7.987,1133,576,18,No,784
206,15,,plt19_day15.mov,7.987,1013,576,19,No,784
207,15,,plt1_day15.mov,7.987,995,576,01,No,784
208,15,,plt20_day15.mov,7.987,987,576,20,No,784
209,15,,plt21_day15.mov,7.987,995,576,21,No,784
210,15,,plt22_day15.mov,7.987,1084,576,22,No,784
211,15,,plt23_day15.mov,7.987,995,576,23,No,784
212,15,,plt24_day15.mov,7.987,988,576,24,No,784
213,15,,plt25_day15.mov,7.987,993,576,25,No,784
214,15,,plt2_day15.mov,7.987,1082,576,02,No,784
215,15,,plt3_day15.mov,7.987,992,576,03,No,784
216,15,,plt4_day15.mov,7.987,995,576,04,No,784
217,15,,plt5_day15.mov,7.987,1120,576,05,No,784
218,15,,plt6_day15.mov,7.987,1012,576,06,No,784
219,15,,plt7_day15.mov,7.987,1023,576,07,No,784
220,15,,plt8_day15.mov,7.987,1067,576,08,No,784
221,15,,plt9_day15.mov,7.987,996,576,09,No,784
222,17,,pl26_day17.mov,7.987,1009,576,26,No,784
223,17,,pl27_day17.mov,7.987,1002,576,27,No,784
224,17,,pl28_day17.mov,7.987,991,576,28,No,784
225,17,,pl29_day17.mov,7.987,993,576,29,No,784
226,17,,pl30_day17.mov,7.987,1005,576,30,No,784
227,17,,pl31_day17.mov,7.987,993,576,31,No,784
228,17,,pl32_day17.mov,7.987,992,576,32,No,784
229,17,,pl33_day17.mov,7.987,1027,576,33,No,784
230,17,,pl34_day17.mov,7.987,992,576,34,No,784
231,17,,pl35_day17.mov,7.987,993,576,35,No,784
232,17,,pl36_day17.mov,7.987,991,576,36,No,784
233,17,,pl37_day17.mov,7.987,991,576,37,No,784
234,17,,pl38_day17.mov,7.987,993,576,38,No,784
235,17,,pl39_day17.mov,7.987,1008,576,39,No,784
236,17,,pl40_day17.mov,7.987,1035,576,40,No,784
237,17,,pl41_day17.mov,7.987,990,576,41,No,784
238,17,,pl42_day17.mov,7.987,1001,576,42,No,784
239,17,,pl43_day17.mov,7.987,993,576,43,No,784
240,17,,pl44_day17.mov,7.987,997,576,44,No,784
241,17,,pl45_day17.mov,7.987,991,576,45,No,784
242,17,,pl46_day17.mov,7.987,993,576,46,No,784
243,17,,pl47_day17.mov,7.987,992,576,47,No,784
244,17,,pl48_day17.mov,7.987,1003,576,48,No,784
245,17,,pl49_day17.mov,7.987,986,576,49,No,784
246,17,,pl50_day17.mov,7.987,988,576,50,No,784
247,17,,pl51_day17.mov,7.987,1045,576,51,No,784
248,17,,pl52_day17.mov,7.987,1044,576,52,No,784
249,17,,pl53_day17.mov,7.987,1073,576,53,No,784
250,17,,pl54_day17.mov,7.987,1042,576,54,No,784
251,17,,pl55_day17.mov,7.987,1044,576,55,No,784
252,17,,pl56_day17.mov,7.987,1042,576,56,No,784
253,17,,pl57_day17.mov,7.987,1031,576,57,No,784
254,17,,pl58_day17.mov,7.987,1046,576,58,No,784
255,17,,pl59_day17.mov,7.987,1126,576,59,No,784
256,17,,pl60_day17.mov,7.987,1042,576,60,No,784
257,17,,pl61_day17.mov,7.987,1042,576,61,No,784
258,17,,pl62_day17.mov,7.987,1005,576,62,No,784
259,17,,pl63_day17.mov,7.987,1051,576,63,No,784
260,17,,pl64_day17.mov,7.987,1044,576,64,No,784
