index,day,drop,drop_img_sim,file_name,fps,frames,height,plate,tracked,width
88,13,491,0.576302758,pl40_day13.mov,7.987,996,576,40,No,784
89,13,492,0.663269262,pl41_day13.mov,7.987,995,576,41,No,784
90,13,490,0.536388147,pl42_day13.mov,7.987,993,576,42,No,784
91,13,490,0.678038986,pl43_day13.mov,7.987,991,576,43,No,784
92,13,490,0.640295338,pl44_day13.mov,7.987,994,576,44,No,784
93,13,492,0.769730755,pl45_day13.mov,7.987,993,576,45,No,784
94,13,489,0.64147538,pl46_day13.mov,7.987,994,576,46,No,784
95,13,490,0.628560713,pl47_day13.mov,7.987,995,576,47,No,784
96,13,494,0.624866057,pl48_day13.mov,7.987,1034,576,48,No,784
97,13,485,0.731897412,pl49_day13.mov,7.987,992,576,49,No,784
98,13,491,0.649212126,pl50_day13.mov,7.987,996,576,50,No,784
99,13,492,0.587685109,pl51_day13.mov,7.987,995,576,51,No,784
100,13,490,0.658578865,pl52_day13.mov,7.987,995,576,52,No,784
101,13,490,0.635415083,pl53_day13.mov,7.987,994,576,53,No,784
102,13,490,0.58516513,pl54_day13.mov,7.987,993,576,54,No,784
103,13,489,0.58380035,pl55_day13.mov,7.987,993,576,55,No,784
104,13,491,0.606386754,pl56_day13.mov,7.987,994,576,56,No,784
105,13,492,0.635586289,pl57_day13.mov,7.987,995,576,57,No,784
106,13,490,0.567693209,pl58_day13.mov,7.987,996,576,58,No,784
107,13,490,0.554045629,pl59_day13.mov,7.987,989,576,59,No,784
108,13,490,0.645042289,pl60_day13.mov,7.987,993,576,60,No,784
109,13,492,0.55942264,pl61_day13.mov,7.987,994,576,61,No,784
110,13,490,0.833416196,pl62_day13.mov,7.987,994,576,62,No,784
111,13,491,0.609616127,pl63_day13.mov,7.987,996,576,63,No,784
112,13,491,0.649466929,pl64_day13.mov,7.987,994,576,64,No,784
113,13,490,0.605342413,pl65_day13.mov,7.987,1034,576,65,No,784
114,13,493,0.555082027,pl66_day13.mov,7.987,994,576,66,No,784
115,13,492,0.617834278,pl67_day13.mov,7.987,1005,576,67,No,784
116,13,489,0.563001703,pl68_day13.mov,7.987,993,576,68,No,784
117,13,489,0.602232299,pl69_day13.mov,7.987,995,576,69,No,784
118,13,491,0.609468064,pl70_day13.mov,7.987,996,576,70,No,784
119,13,507,0.628449309,pl71_day13.mov,7.987,1007,576,71,No,784
120,13,493,0.650083618,pl72_day13.mov,7.987,991,576,72,No,784
121,13,491,0.623948139,pl73_day13.mov,7.987,995,576,73,No,784
122,13,490,0.62076774,pl74_day13.mov,7.987,994,576,74,No,784
123,13,488,0.658227287,plt10_day13.mov,7.987,1003,576,10,No,784
124,13,491,0.568822628,plt11_day13.mov,7.987,995,576,11,No,784
125,13,530,0.494337892,plt12_day13.mov,7.987,1021,576,12,No,784
126,13,522,0.543284747,plt13_day13.mov,7.987,1012,576,13,No,784
127,13,483,0.586387122,plt14_day13.mov,7.987,982,576,14,No,784
128,13,491,0.536985366,plt15_day13.mov,7.987,988,576,15,No,784
129,13,485,0.476121533,plt16_day13.mov,7.987,987,576,16,No,784
130,13,490,0.634010314,plt17_day13.mov,7.987,1003,576,17,No,784
131,13,491,0.686071835,plt18_day13.mov,7.987,987,576,18,No,784
132,13,533,0.679315183,plt19_day13.mov,7.987,1046,576,19,No,784
133,13,531,0.494273376,plt1_day13.mov,7.987,1037,576,1,No,784
134,13,489,0.508500952,plt20_day13.mov,7.987,987,576,20,No,784
135,13,483,0.542229512,plt21_day13.mov,7.987,993,576,21,No,784
136,13,513,0.592457508,plt22_day13.mov,7.987,1004,576,22,No,784
137,13,553,0.476689521,plt23_day13.mov,7.987,1043,576,23,No,784
138,13,485,0.598012411,plt24_day13.mov,7.987,1012,576,24,No,784
139,13,488,0.614897866,plt25_day13.mov,7.987,988,576,25,No,784
140,13,489,0.489856255,plt2_day13.mov,7.987,990,576,2,No,784
141,13,486,0.568094959,plt3_day13.mov,7.987,986,576,3,No,784
142,13,602,0.496869174,plt4_day13.mov,7.987,1069,576,4,No,784
143,13,486,0.483127608,plt5_day13.mov,7.987,1032,576,5,No,784
144,13,485,0.60022155,plt6_day13.mov,7.987,988,576,6,No,784
145,13,486,0.625063362,plt7_day13.mov,7.987,1000,576,7,No,784
146,13,522,0.584436748,plt8_day13.mov,7.987,1011,576,8,No,784
147,13,506,0.575010326,plt9_day13.mov,7.987,997,576,9,No,784
148,15,491,0.651903598,pl26_day15.mov,7.987,994,576,26,No,784
149,15,490,0.591368323,pl27_day15.mov,7.987,995,576,27,No,784
150,15,490,0.651755917,pl28_day15.mov,7.987,994,576,28,No,784
151,15,492,0.607768868,pl29_day15.mov,7.987,995,576,29,No,784
152,15,491,0.614887419,pl30_day15.mov,7.987,995,576,30,No,784
153,15,489,0.792523353,pl31_day15.mov,7.987,993,576,31,No,784
154,15,493,0.645659071,pl32_day15.mov,7.987,999,576,32,No,784
155,15,492,0.546640663,pl33_day15.mov,7.987,995,576,33,No,784
156,15,492,0.616775711,pl34_day15.mov,7.987,993,576,34,No,784
157,15,491,0.664280886,pl35_day15.mov,7.987,1006,576,35,No,784
158,15,497,0.64447478,pl36_day15.mov,7.987,999,576,36,No,784
159,15,491,0.736289068,pl37_day15.mov,7.987,996,576,37,No,784
160,15,503,0.731115546,pl38_day15.mov,7.987,1003,576,38,No,784
161,15,492,0.586581585,pl39_day15.mov,7.987,993,576,39,No,784
162,15,491,0.857113164,pl40_day15.mov,7.987,997,576,40,No,784
163,15,491,0.624503046,pl41_day15.mov,7.987,996,576,41,No,784
164,15,495,0.785200961,pl42_day15.mov,7.987,993,576,42,No,784
165,15,490,0.791116441,pl43_day15.mov,7.987,994,576,43,No,784
166,15,492,0.57175678,pl44_day15.mov,7.987,994,576,44,No,784
167,15,491,0.843731003,pl45_day15.mov,7.987,996,576,45,No,784
168,15,490,0.626377435,pl46_day15.mov,7.987,995,576,46,No,784
169,15,492,0.581750491,pl47_day15.mov,7.987,994,576,47,No,784
170,15,505,0.645478817,pl48_day15.mov,7.987,1010,576,48,No,784
171,15,498,0.719069412,pl49_day15.mov,7.987,998,576,49,No,784
172,15,491,0.656351235,pl50_day15.mov,7.987,993,576,50,No,784
173,15,490,0.609487101,pl51_day15.mov,7.987,996,576,51,No,784
174,15,489,0.702111851,pl52_day15.mov,7.987,1037,576,52,No,784
175,15,490,0.734403282,pl53_day15.mov,7.987,994,576,53,No,784
176,15,492,0.605132916,pl54_day15.mov,7.987,997,576,54,No,784
177,15,492,0.704486549,pl55_day15.mov,7.987,993,576,55,No,784
178,15,492,0.652781459,pl56_day15.mov,7.987,993,576,56,No,784
179,15,490,0.722328452,pl57_day15.mov,7.987,993,576,57,No,784
180,15,491,0.567279352,pl58_day15.mov,7.987,995,576,58,No,784
181,15,490,0.683210543,pl59_day15.mov,7.987,994,576,59,No,784
182,15,488,0.601288699,pl60_day15.mov,7.987,994,576,60,No,784
183,15,491,0.608963531,pl61_day15.mov,7.987,994,576,61,No,784
184,15,492,0.634696483,pl62_day15.mov,7.987,1000,576,62,No,784
185,15,490,0.59383894,pl63_day15.mov,7.987,1003,576,63,No,784
186,15,492,0.647262278,pl64_day15.mov,7.987,994,576,64,No,784
187,15,490,0.612788484,pl65_day15.mov,7.987,996,576,65,No,784
188,15,492,0.622985346,pl66_day15.mov,7.987,993,576,66,No,784
189,15,490,0.710055203,pl67_day15.mov,7.987,996,576,67,No,784
190,15,492,0.769749743,pl68_day15.mov,7.987,992,576,68,No,784
191,15,494,0.53530962,pl69_day15.mov,7.987,996,576,69,No,784
192,15,493,0.613163647,pl70_day15.mov,7.987,986,576,70,No,784
193,15,491,0.607628666,pl71_day15.mov,7.987,997,576,71,No,784
194,15,493,0.658827817,pl72_day15.mov,7.987,1034,576,72,No,784
195,15,492,0.567559917,pl73_day15.mov,7.987,988,576,73,No,784
196,15,494,0.643160337,pl74_day15.mov,7.987,994,576,74,No,784
